fonte,manchete,resumo,link
G1,"ANÁLISE: Trump legitimou Putin, que soube bajular presidente dos EUA",N/A,https://g1.globo.com/mundo/blog/sandra-cohen/post/2025/08/16/trump-legitimou-putin-que-soube-manejar-com-maestria-a-arte-da-bajulacao.ghtml
G1,Encontro de Trump e Putin e mais VÍDEOS do dia,N/A,https://g1.globo.com/playlist/videos-para-assistir-agora.ghtml
G1,"Venda ilegal de receitas, remédios e atestados explode nas redes sociais",N/A,https://g1.globo.com/saude/noticia/2025/08/16/remedios-receitas-e-atestados-medicos-falsos-viram-negocio-nas-redes-sociais-plataformas-lucram-com-anuncios.ghtml
G1,Exame de Bolsonaro aponta resquícios de infecção pulmonar e gastrite,N/A,https://g1.globo.com/politica/noticia/2025/08/16/exames-de-bolsonaro-indicam-infeccoes-pulmonares-esofagite-e-gastrite-diz-boletim-medico.ghtml
G1,Datafolha: 35% culpam Lula pelo tarifaço de Trump; 22% apontam Bolsonaro,N/A,https://g1.globo.com/politica/noticia/2025/08/16/datafolha-35percent-culpam-lula-pelo-tarifaco-de-trump-22percent-apontam-bolsonaro-como-responsavel.ghtml
G1,"Com tarifaço, indústria do pescado corre para evitar demissões",N/A,https://g1.globo.com/economia/agronegocios/noticia/2025/08/16/com-tarifaco-industria-do-pescado-corre-para-achar-novos-mercados-e-evitar-demissoes.ghtml
G1,STJ recebe pedido para intimar Moraes em ação nos EUA,N/A,https://g1.globo.com/politica/noticia/2025/08/16/stj-recebe-pedido-para-intimar-moraes-sobre-processo-contra-ele-nos-eua.ghtml
GE_GLOBO,Fábio se torna recordista de jogos da história do futebol mundial,N/A,https://ge.globo.com/futebol/times/fluminense/noticia/2025/08/16/fabio-se-torna-recordista-de-jogos-da-historia-do-futebol-mundial.ghtml
GE_GLOBO,"Sinner bate algoz de João Fonseca, vai à final em Cincinnati e garante melhor ranking do brasileiro",N/A,https://ge.globo.com/tenis/noticia/2025/08/16/sinner-bate-algoz-de-joao-fonseca-vai-a-final-de-cincinnati-e-garante-melhor-ranking-possivel-ao-carioca.ghtml
GE_GLOBO,Corinthians define data para escolher novo presidente,N/A,https://ge.globo.com/futebol/times/corinthians/noticia/2025/08/16/corinthians-vai-escolher-novo-presidente-no-dia-25-de-agosto.ghtml
